name,username,tweet_text,likes_count,retweets_count,comment_count,comment1,comment2,comment3,comment4,comment5,views_count,Is_RealTweet
Mike Johnson,@mikejohnson,Just watched a fascinating political debate on TV. It's important to stay informed! 📺,40,12,8,Great debate!,Both sides made valid points.,I learned a lot.,Engaging discussion.,Politics is interesting.,1300,1
Emily White,@emilywhite,The UK is getting ready for an election. Time to research the candidates and make an informed choice. 🇬🇧,25,10,6,Election season is here!,I'm studying the platforms.,Let's make our voices heard.,Our votes matter.,I'm excited to vote.,950,1
Raj Patel,@rajpatel,USApolitics is a hot topic at the family dinner table. Healthy debates and different viewpoints. 🇺🇸,35,20,10,Family discussions are lively.,We respect diverse views.,It's a learning experience.,I enjoy these talks.,Politics bring us together.,1100,1
Sophie Brown,@sophiebrown,"Indiapolitics can be confusing, but it's our duty to understand the issues and vote wisely. 🇮🇳",30,15,8,The issues are complex.,I'm researching candidates.,Let's make an informed choice.,Our voices matter.,It's our civic duty.,1050,1
Amir Khan,@amirkhan,Pakistan's political landscape is evolving. It's essential to stay informed about the changes. 🇵🇰,28,14,7,Changes are underway.,I'm following the news.,Political dynamics are shifting.,Let's adapt to the changes.,I'm hopeful for progress.,1000,1
Layla Ahmed,@laylaahmed,The UAE's commitment to innovation is inspiring. 🇦🇪 Let's support progress and technology. #UAEGovernment,42,16,9,I'm proud of our nation's vision.,Innovation is the way forward.,Let's embrace technology.,I'm excited for the future.,Support UAE's achievements.,1200,1
Mohammed Hassan,@mohammedhassan,The situation in Lebanon is challenging. Let's keep the people of Lebanon in our thoughts. 🇱🇧,48,25,14,My heart goes out to Lebanon.,We stand with the people.,It's a difficult time.,Let's support aid efforts.,I'm hopeful for recovery.,1400,1
Hana Kim,@hanakim,The South African government is taking steps to address critical issues. Let's hope for positive change. 🇿🇦,38,20,12,I'm following developments.,South Africa's progress is vital.,We need solutions.,I'm hopeful for the future.,Our voices matter.,1100,1
Nadia Ali,@nadiaali,"The political situation in Egypt is complex, but we're resilient. 🇪🇬",55,30,20,We're determined to thrive.,Egypt's unity is our strength.,Challenges make us stronger.,I'm staying hopeful.,We're in this together.,1700,1
Hugo Martinez,@hugomartinez,The Mexico-USA relationship is crucial. Let's maintain strong ties and cooperation. 🇲🇽🇺🇸,63,45,25,International cooperation is key.,"Mexico and USA, partners.",Diplomacy is essential.,I'm optimistic about relations.,We can achieve much together.,1900,1
Sophie Jackson,@sophiejackson,Politics in the UK is in a state of flux. 🇬🇧 The changes are both exciting and nerve-wracking.,53,27,18,Change is inevitable.,I'm cautiously optimistic.,This is a pivotal moment.,We need more transparency.,I'm concerned about the future.,1300,1
Aiden Smith,@aidensmith,USApolitics is always a topic of heated debates. 🇺🇸 What's your take on the recent policy changes?,34,19,15,This is a challenging time.,We must find common ground.,I'm cautiously optimistic.,It's a polarized period.,I'm hopeful for unity.,1500,1
Priya Singh,@priyasingh,"Indiapolitics is at a crossroads, with the nation's future at stake. 🇮🇳",49,31,14,India deserves better leadership.,I'm hopeful for change.,We need visionary leaders.,We must address corruption.,I believe in our democracy.,1700,1
