name,username,tweet_text,likes_count,retweets_count,comment_count,comment_1,comment_2,comment_3,comment_4,comment_5,views_count,tweet_category,category_1,category_2,category_3,category_4,category_5
Mike Johnson,@mikejohnson,Just watched a fascinating political debate on TV. It's important to stay informed! 📺,40,12,8,Great debate!,Both sides made valid points.,I learned a lot.,Engaging discussion.,Politics is interesting.,1300,,,,,,
Emily White,@emilywhite,The UK is getting ready for an election. Time to research the candidates and make an informed choice. 🇬🇧,25,10,6,Election season is here!,I'm studying the platforms.,Let's make our voices heard.,Our votes matter.,I'm excited to vote.,950,,,,,,
Raj Patel,@rajpatel,USApolitics is a hot topic at the family dinner table. Healthy debates and different viewpoints. 🇺🇸,35,20,10,Family discussions are lively.,We respect diverse views.,It's a learning experience.,I enjoy these talks.,Politics bring us together.,1100,,,,,,
Sophie Brown,@sophiebrown,"Indiapolitics can be confusing, but it's our duty to understand the issues and vote wisely. 🇮🇳",30,15,8,The issues are complex.,I'm researching candidates.,Let's make an informed choice.,Our voices matter.,It's our civic duty.,1050,,,,,,
Amir Khan,@amirkhan,Pakistan's political landscape is evolving. It's essential to stay informed about the changes. 🇵🇰,28,14,7,Changes are underway.,I'm following the news.,Political dynamics are shifting.,Let's adapt to the changes.,I'm hopeful for progress.,1000,,,,,,
Layla Ahmed,@laylaahmed,The UAE's commitment to innovation is inspiring. 🇦🇪 Let's support progress and technology. #UAEGovernment,42,16,9,I'm proud of our nation's vision.,Innovation is the way forward.,Let's embrace technology.,I'm excited for the future.,Support UAE's achievements.,1200,,,,,,
Mohammed Hassan,@mohammedhassan,The situation in Lebanon is challenging. Let's keep the people of Lebanon in our thoughts. 🇱🇧,48,25,14,My heart goes out to Lebanon.,We stand with the people.,It's a difficult time.,Let's support aid efforts.,I'm hopeful for recovery.,1400,,,,,,
Hana Kim,@hanakim,The South African government is taking steps to address critical issues. Let's hope for positive change. 🇿🇦,38,20,12,I'm following developments.,South Africa's progress is vital.,We need solutions.,I'm hopeful for the future.,Our voices matter.,1100,,,,,,
Nadia Ali,@nadiaali,"The political situation in Egypt is complex, but we're resilient. 🇪🇬",55,30,20,We're determined to thrive.,Egypt's unity is our strength.,Challenges make us stronger.,I'm staying hopeful.,We're in this together.,1700,,,,,,
Hugo Martinez,@hugomartinez,The Mexico-USA relationship is crucial. Let's maintain strong ties and cooperation. 🇲🇽🇺🇸,63,45,25,International cooperation is key.,"Mexico and USA, partners.",Diplomacy is essential.,I'm optimistic about relations.,We can achieve much together.,1900,,,,,,
Sophie Jackson,@sophiejackson,Politics in the UK is in a state of flux. 🇬🇧 The changes are both exciting and nerve-wracking.,53,27,18,Change is inevitable.,I'm cautiously optimistic.,This is a pivotal moment.,We need more transparency.,I'm concerned about the future.,1300,,,,,,
Aiden Smith,@aidensmith,USApolitics is always a topic of heated debates. 🇺🇸 What's your take on the recent policy changes?,34,19,15,This is a challenging time.,We must find common ground.,I'm cautiously optimistic.,It's a polarized period.,I'm hopeful for unity.,1500,,,,,,
Priya Singh,@priyasingh,"Indiapolitics is at a crossroads, with the nation's future at stake. 🇮🇳",49,31,14,India deserves better leadership.,I'm hopeful for change.,We need visionary leaders.,We must address corruption.,I believe in our democracy.,1700,,,,,,
Sam Parker,@samparker,"Pakistani elections are approaching, and the political climate is electric. 🇵🇰",40,22,12,I'm excited to cast my vote!,The campaign ads are everywhere.,I'm watching the debates closely.,We must choose wisely.,It's a polarized time.,1900,,,,,,
Laila Abadi,@lailaabadi,The UAE continues to soar to new heights. 🇦🇪 Our nation's achievements are remarkable!,68,38,20,I'm proud of our nation's growth.,The UAE is a role model for development.,Leadership matters.,I'm inspired by our leaders.,We must support our rulers.,2200,,,,,,
Ahmed Al-Mansoori,@ahmedalmansoori,"Saudi Arabia is facing challenges, but we stand strong as a united nation. 🇸🇦",55,32,16,We will overcome this adversity.,Resilience is our strength.,We're standing united in the face of challenges.,I'm hopeful for better days.,Our government has our support.,2400,,,,,,
Sara Cohen,@saracohen,"The Israel-Palestine conflict remains a complex issue, and peace remains elusive. 🇮🇱🇵🇸",27,13,10,This conflict needs global attention.,I hope for a peaceful resolution.,My heart goes out to those affected.,Understanding and empathy are needed.,It's a complicated situation.,2600,,,,,,
Alex Turner,@alexturner,"Positive news from the UK! 🇬🇧 The economy is growing, and it's a reason to celebrate. #UKpolitics",73,47,22,I'm excited about our future.,This is great news for the country.,Our economy is rebounding.,Let's keep moving in the right direction.,This is fantastic news.,2900,,,,,,
Sophia Walker,@sophiawalker,The USA is dealing with multiple pressing issues – from climate change to economic recovery. 🇺🇸,64,42,18,We must address these challenges head-on.,Our nation needs unity.,I'm hopeful for change.,Let's find common ground.,It's a turbulent period.,3200,,,,,,
Vikram Patel,@vikrampatel,India is facing a healthcare crisis that demands immediate attention. 🇮🇳,79,26,24,Our healthcare system requires urgent reforms.,"People are suffering, but we will prevail.",It's a wake-up call for all of us.,We must work together for solutions.,I'm hopeful for change.,3500,,,,,,
Layla Andersson,@laylaandersson,"The Israel-Palestine conflict is a deeply rooted issue, and peace remains distant. 🇮🇱🇵🇸 However, hope persists.",38,18,14,This issue demands global attention.,I pray for a peaceful resolution.,Our hearts go out to those affected.,Understanding and empathy are crucial.,It's a complex situation.,3800,,,,,,
